FACILITY,FIELD_FAB,ALL_LOTS,DATETIME,TEXT,PREDICTION
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:05.664757+01:00,RULE_LTS1 3.91368293762207 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:05.249794+01:00,Model_Context_Scan_Go 5.23067593574524 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:15.577001+01:00,Model_Context_Scan_Go 0.0007970333099365 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:16.463855+01:00,MVOUT_Context_Lot_Scan_Go 0.0009379386901855 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:28.789034+01:00,Start_METAL_SSW_Scan_Go 0.0006661415100097 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:33.599019+01:00,Lot_Next_Oper_Scan_Go 0.0009560585021972 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:31.019443+01:00,ChangeCarrier_Scan_Go 0.0008790493011474 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:38.172505+01:00,RULE_LTS1 0.0008041858673095 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:48.13729+01:00,RULE_LTS1 1.79202198982239 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:49.195189+01:00,RULE_LTS1 0.0283589363098145 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:44:53.051056+01:00,MVOUT_Context_Lot_Scan_Go 0.0027110576629638 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:45:08.608184+01:00,Model_Context_Scan_Go 9.22131609916687 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:45:11.939843+01:00,Start_METAL_SSW_Scan_Go 11.1290299892426 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:45:16.109471+01:00,RULE_LTS1 7.93412780761719 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:45:16.107272+01:00,RULE_LTS1 8.45544695854187 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:45:36.90654+01:00,Start_OV_Scan_Go 13.3503189086914 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:45:34.81698+01:00,Model_Context_Scan_Go 17.0182998180389 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,23/01/2024 07:45:40.22788+01:00,MVOUT_Context_Lot_Scan_Go 10.9864940643311 CTNSX00364,1
B,LDB_5D,****ALLLOTS****,11/01/2024 10:00:10.407358+01:00,RULE_LTS1 0.0025579929351806 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:14.76633+01:00,Lot_Next_Oper_Scan_Go 0.0017430782318115 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:15.780235+01:00,ChangeCarrier_Scan_Go 0.0316550731658936 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:25.541167+01:00,Start_REMOVAL_DRS_Scan_Go 0.0020878314971923 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:29.072806+01:00,Lot_Next_Oper_Scan_Go 0.000741958618164 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:28.15266+01:00,Start_ETCHING_Scan_Go 1.22834992408752 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:42.463917+01:00,RULE_LTS1 1.36482214927673 CTNSX00364,1
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:39.126705+01:00,Model_Context_Scan_Go 0.0008890628814697 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:47.164158+01:00,RULE_LTS1 0.0009620189666748 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:47.947571+01:00,Model_Context_Scan_Go 0.0009770393371582 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:49.160366+01:00,RULE_LTS1 0.0009219646453857 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:52.667342+01:00,RULE_LTS1 0.00083589553833 CTNSX00364,0
FAB,LDB_5D,****ALLLOTS****,11/01/2024 10:00:57.250473+01:00,Start_BACK_VIS_Scan_Go 0.0007729530334472 CTNSX00364,0
